id_empresa;cod_provincia;ciiu1;ciiu2;ciiu3;Ventas_2012;Ventas_2013;Ventas_2014;Export_2012;Export_2013;Export_2014;Invcap_2012;Invcap_2013;Invcap_2014;ID_2012;ID_2013;ID_2014;oaiact_2012;oaiact_2013;oaiact_2014;tipo;emp_inves;emp_tipo;fexp
44382330177;Pichincha;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS";COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;VENTA DE VEHÍCULOS AUTOMOTORES;0;111252253;139134567;0;0;0;0;172005;166243;0;0;0;0;0;0;Privada;Innnovación;Privada;1,03240740740741
44382366171;Pichincha;INDUSTRIAS MANUFACTURERAS;FABRICACIÓN DE SUBSTANCIAS Y PRODUCTOS QUÍMICOS;FABRICACIÓN DE OTROS PRODUCTOS QUÍMICOS;2982172;7591251;2808268;0;0;0;0;1133621;388128;0;0;0;0;403000;0;Pública;Innnovación;Pública;1,03571428571429
44384156018;Azuay;INDUSTRIAS MANUFACTURERAS;FABRICACIÓN DE CUEROS Y PRODUCTOS CONEXOS;"CURTIDO Y ADOBO DE CUEROS; FABRICACIÓN DE MALETAS, BOLSOS DE MANO Y ARTÍCULOS DE TALABARTERÍA Y GUARNICIONERÍA; ADOBO Y";0;34369;46866;0;0;0;0;0;0;0;0;0;0;0;0;Privada;Innnovación;Privada;2,21359223300971
44385051228;Orellana;TRANSPORTE Y ALMACENAMIENTO;TRANSPORTE POR VÍA TERRESTRE Y POR TUBERÍAS;OTRAS ACTIVIDADES DE TRANSPORTE POR VÍA TERRESTRE;0;995445;1087215;0;0;0;0;2600;0;0;0;0;0;2600;0;Privada;Innnovación;Privada;1,64516129032258
44385675175;Pichincha;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS";COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR DE ALIMENTOS, BEBIDAS Y TABACO;65000000;84000000;76000000;65000000;84000000;76000000;0;0;0;0;0;0;0;0;0;Privada;Innnovación;Privada;1,07407407407407
44385780173;Pichincha;INDUSTRIAS MANUFACTURERAS;FABRICACIÓN DE COQUE Y DE PRODUCTOS DE LA REFINACIÓN DEL PETRÓLEO;FABRICACIÓN DE PRODUCTOS DE LA REFINACIÓN DEL PETRÓLEO;30211163;31742988;32632652;0;0;0;635518;429726;740425;0;0;0;45000;60000;60000;Privada;Innnovación;Privada;1,03571428571429
44385870237;Santo Domingo de los Tsáchilas;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS";COMERCIO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES;0;981155;1832539;0;0;0;0;0;0;0;0;0;0;0;0;Privada;Innnovación;Privada;1,69565217391304
44387226041;Imbabura;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS";COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR DE ENSERES DOMÉSTICOS;800000;2800000;2800000;0;0;0;28000;25000;0;0;0;0;28000;0;0;Privada;Innnovación;Privada;1,1875
44387406066;Chimborazo;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS;ACTIVIDADES DE ALOJAMIENTO;ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS;280648;636323;1005781;0;0;0;5768;5835;66467;0;0;0;2040;2700;0;Privada;Innnovación;Privada;1,31884057971015
44387660191;Zamora Chinchipe;EXPLOTACIÓN DE MINAS Y CANTERAS;EXTRACCIÓN DE MINERALES METALÍFEROS;EXTRACCIÓN DE MINERALES METALÍFEROS NO FERROSOS;41333;80995;17990;0;0;0;0;2762;5150;7200;0;0;7200;2762;5150;Privada;Innnovación;Privada;1,66666666666667
44388561111;Loja;CONSTRUCCIÓN;CONSTRUCCIÓN DE EDIFICIOS;CONSTRUCCIÓN DE EDIFICIOS;419692;985556;1200724;0;0;0;2023;35716;124177;0;0;0;0;0;0;Privada;Innnovación;Privada;1,69230769230769
44389223139;Manabí;TRANSPORTE Y ALMACENAMIENTO;ALMACENAMIENTO Y ACTIVIDADES DE APOYO AL TRANSPORTE;ACTIVIDADES DE APOYO AL TRANSPORTE;160219;764452;1242896;0;0;0;0;0;2000;0;0;0;0;0;0;Privada;Innnovación;Privada;1,11111111111111
44389641011;Azuay;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS";COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR A CAMBIO DE UNA COMISIÓN O POR CONTRATO;0;12500000;1300000;0;0;0;0;0;0;0;0;0;0;0;0;Privada;Innnovación;Privada;1
44393825135;Manabí;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS";COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR DE MAQUINARIAS EQUIPOS Y MATERIALES;0;5272541;5100000;0;0;0;0;1100000;850000;0;0;0;0;0;0;Privada;Innnovación;Privada;1,11111111111111
44394346214;Sucumbíos;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS";COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR DE ENSERES DOMÉSTICOS;2000000;2094951;1976468;0;0;0;36000;36000;150000;0;0;0;0;0;0;Privada;Innnovación;Privada;1,375
44394657074;El Oro;INDUSTRIAS MANUFACTURERAS;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS;ELABORACIÓN DE ALIMENTOS PREPARADOS PARA ANIMALES;0;8344196;21618571;0;0;0;0;0;16000;0;0;0;0;0;0;Privada;Innnovación;Privada;1
44394734176;Pichincha;INDUSTRIAS MANUFACTURERAS;FABRICACIÓN DE PRODUCTOS DE INFORMÁTICA, ELECTRÓNICA Y ÓPTICA;FABRICACIÓN DE ORDENADORES Y EQUIPO PERIFÉRICO;2459182;215364;364232;0;0;0;0;0;0;0;0;0;0;0;0;Privada;Innnovación;Privada;6,95454545454545
44395485030;Azuay;EXPLOTACIÓN DE MINAS Y CANTERAS;EXTRACCIÓN DE MINERALES METALÍFEROS;EXTRACCIÓN DE MINERALES METALÍFEROS NO FERROSOS;945785;1147478;4700680;0;0;0;559914;493196;795000;0;0;0;0;0;0;Privada;Innnovación;Privada;1,33333333333333
44395664171;Pichincha;INDUSTRIAS MANUFACTURERAS;FABRICACIÓN DE PRENDAS DE VESTIR;FABRICACIÓN DE PRENDAS DE VESTIR, EXCEPTO PRENDAS DE PIEL;1700000;2000000;1300000;0;0;0;0;40000;0;0;0;0;0;40000;0;Privada;Innnovación;Privada;5,5
44395907074;El Oro;EXPLOTACIÓN DE MINAS Y CANTERAS;EXTRACCIÓN DE MINERALES METALÍFEROS;EXTRACCIÓN DE MINERALES METALÍFEROS NO FERROSOS;110000;7514564;957386;0;745914;877408;584048;254111;0;0;0;0;0;228700;0;Privada;Innnovación;Privada;1,71875
44399077173;Pichincha;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO;ACTIVIDADES DE ALQUILER Y ARRENDAMIENTO;ALQUILER DE OTROS TIPOS DE MAQUINARIA, EQUIPO Y BIENES TANGIBLES;11000000;11229000;9209000;0;0;0;0;0;3000;0;0;0;0;0;0;Privada;Innnovación;Privada;1,03240740740741
44399527012;Azuay;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS";COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;OTRAS ACTIVIDADES DE VENTA AL POR MAYOR ESPECIALIZADA;2225000;8700000;9600000;0;0;0;0;0;2000;0;0;0;0;0;2000;Privada;Innnovación;Privada;1,01449275362319
44401051179;Pichincha;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS;ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD;ACTIVIDADES JURÍDICAS;79079;169348;170321;0;0;0;224;0;0;0;0;0;0;0;0;Privada;Innnovación;Privada;14,7722222222222
44404308189;Tungurahua;INDUSTRIAS MANUFACTURERAS;FABRICACIÓN DE VEHÍCULOS AUTOMOTORES, REMOLQUES Y SEMIRREMOLQUES;FABRICACIÓN DE VEHÍCULOS AUTOMOTORES;0;8876354;28628042;0;0;0;4889731;5533556;2346389;0;30000;60000;1393249;247473;1829843;Privada;Innnovación;Privada;1
44405627091;Guayas;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS;INVESTIGACIÓN CIENTÍFICA Y DESARROLLO;INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS NATURALES Y LA INGENIERÍA;100000;344000;218000;0;0;0;0;0;0;0;0;0;0;0;0;Privada;Innnovación;Privada;11,1864406779661
44407787126;Los Ríos;INFORMACIÓN Y COMUNICACIÓN;ACTIVIDADES DE PUBLICACIÓN;PUBLICACIÓN DE LIBROS, PERIÓDICOS Y OTRAS ACTIVIDADES DE PUBLICACIÓN;1055256;955197;926689;0;0;0;0;0;28660;0;0;0;0;0;0;Privada;Innnovación;Privada;2,11538461538462
44409406103;Imbabura;INDUSTRIAS MANUFACTURERAS;FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS;FABRICACIÓN DE PRODUCTOS MINERALES NO METÁLICOS NCP;0;138969;65960;0;0;0;0;1000;0;0;0;0;0;1000;0;Privada;Innnovación;Privada;1,79545454545455
44409539090;Guayas;INDUSTRIAS MANUFACTURERAS;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS;ELABORACIÓN DE ALIMENTOS PREPARADOS PARA ANIMALES;0;13126709;28206572;0;0;0;15000000;0;0;0;0;0;0;0;0;Privada;Innnovación;Privada;1,02100840336134
44411741092;Guayas;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS";COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR DE ENSERES DOMÉSTICOS;239345;899216;857056;0;0;0;0;0;1200;0;0;0;0;0;0;Privada;Innnovación;Privada;9,65833333333333
44412645097;Guayas;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS";COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR DE ALIMENTOS, BEBIDAS Y TABACO;0;5800000;0;0;0;0;0;5145;0;0;0;0;0;0;0;Privada;Innnovación;Privada;1,0537084398977
44413239076;El Oro;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS";COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR DE ALIMENTOS, BEBIDAS Y TABACO;0;15000000;21000000;0;0;0;0;15000;0;0;0;0;0;0;0;Privada;Innnovación;Privada;1,06666666666667
44414098174;Pichincha;INDUSTRIAS MANUFACTURERAS;FABRICACIÓN DE MUEBLES;FABRICACIÓN DE MUEBLES;200000;500000;400000;0;0;0;0;6000;24200;0;0;0;0;6000;24200;Privada;Innnovación;Privada;6,95454545454545
44414427097;Guayas;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS;"ACTIVIDADES DE ARQUITECTURA E INGENIERÍA; ENSAYOS Y ANÁLISIS TÉCNICOS";ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA;0;2861846;3860741;0;0;0;0;480330;43814;0;0;0;0;0;0;Privada;Innnovación;Privada;11,1864406779661
44415561242;Santa Elena;INDUSTRIAS MANUFACTURERAS;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS;ELABORACIÓN Y CONSERVACIÓN DE PESCADOS, CRUSTÁCEOS Y MOLUSCOS;233182;1336322;1715877;0;0;0;2430;59913;9155;0;0;106000;2430;59913;9155;Privada;Innnovación;Privada;1
44417407062;Chimborazo;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS;INVESTIGACIÓN CIENTÍFICA Y DESARROLLO;INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS NATURALES Y LA INGENIERÍA;25760;136782;598987;0;0;0;15000;45000;173912;0;0;0;0;0;171512;Privada;Innnovación;Privada;1,31884057971015
44419326175;Pichincha;INDUSTRIAS MANUFACTURERAS;ELABORACIÓN DE BEBIDAS;ELABORACIÓN DE BEBIDAS;0;246520176;142375547;0;0;0;0;0;0;0;0;0;0;0;0;Privada;Innnovación;Privada;1,03571428571429
44420626051;Cotopaxi;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS";COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;OTRAS ACTIVIDADES DE VENTA AL POR MAYOR ESPECIALIZADA;200000;3000000;3200000;0;0;0;1000;50000;0;0;0;0;0;50000;0;Privada;Innnovación;Privada;1,14705882352941
44424675196;Zamora Chinchipe;EXPLOTACIÓN DE MINAS Y CANTERAS;EXTRACCIÓN DE MINERALES METALÍFEROS;EXTRACCIÓN DE MINERALES METALÍFEROS NO FERROSOS;69945;257755;0;0;0;0;23458;0;0;0;0;0;0;0;0;Privada;Innnovación;Privada;1,66666666666667
44426962079;El Oro;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA;ACTIVIDADES DE MÉDICOS Y ODONTÓLOGOS;100000;105000;120000;0;0;0;5000;5000;10000;0;0;0;0;0;0;Pública;Innnovación;Pública;1,14285714285714
44427366178;Pichincha;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS";COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;OTRAS ACTIVIDADES DE VENTA AL POR MAYOR ESPECIALIZADA;1175137;7999968;8839472;0;0;0;10000;25000;62000;0;0;0;5000;23700;94224;Privada;Innnovación;Privada;1,03240740740741
44431572076;El Oro;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS";COMERCIO AL POR MAYOR, EXCEPTO EL DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;VENTA AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS Y ANIMALES VIVOS;1248;8528731;16645553;0;0;0;0;0;0;0;0;0;0;0;0;Privada;Innnovación;Privada;1,06666666666667
44431846133;Manabí;INDUSTRIAS MANUFACTURERAS;ELABORACIÓN DE PRODUCTOS ALIMENTICIOS;ELABORACIÓN DE OTROS PRODUCTOS ALIMENTICIOS;0;275801;341507;0;0;0;0;0;0;0;0;0;0;0;0;Privada;Innnovación;Privada;1,58333333333333
44432178177;Imbabura;INDUSTRIAS MANUFACTURERAS;FABRICACIÓN DE PRENDAS DE VESTIR;FABRICACIÓN DE PRENDAS DE VESTIR, EXCEPTO PRENDAS DE PIEL;0;1900000;2010000;0;0;0;0;2000;63000;0;0;0;0;2000;63000;Privada;Innnovación;Privada;1
